v2,v3,v5,v6,v7,v10,v13,v14,v17,v1_b,v4_y,v8_t,v9_t,v11_t,v12_p,v12_s,classLabel_yes.
-0.6323529411764706,-0.45661538461538453,-0.15995528222579214,-1.4484857732791518,0.0,-0.16666666666666666,-0.145985401459854,-0.10191082802547771,0,0,0,0,1,1,0,0,0
-0.6911764705882353,-0.48184615384615376,-0.42799516619029465,-0.07465075170890284,-0.3244444444444444,-0.3333333333333333,0.291970802919708,-0.10662892191554611,0,1,1,0,0,0,0,1,0
0.15176470588235283,-0.3846153846153845,0.36636594766593616,-0.15022631329252867,-0.3888888888888889,-0.16666666666666666,-0.08759124087591241,-0.08870016513328616,0,1,0,0,1,0,0,0,0
1.1470588235294117,-0.35876923076923073,0.8588260650160338,0.552808240566147,-0.31444444444444447,-0.3333333333333333,-0.43795620437956206,0.006605331446095777,0,0,0,0,0,0,0,0,0
0.21529411764705864,-0.09230769230769227,-0.7582767653698843,-1.6335852221780387,-0.2777777777777778,-0.3333333333333333,0.40875912408759124,-0.10662892191554611,0,1,0,0,0,1,0,0,0
0.3623529411764704,-0.36923076923076914,0.4776075037745441,-0.5566173958135301,-0.2777777777777778,-0.3333333333333333,0.145985401459854,-0.10662892191554611,0,0,1,0,0,1,0,0,0
-0.14705882352941177,-0.2769230769230769,-0.11920485684956396,-1.4731815666779666,-0.3888888888888889,-0.3333333333333333,0.5693430656934306,-0.10568530313753244,0,0,0,0,0,1,0,0,0
-0.4411764705882353,-0.4153846153846153,0.8099959941745477,-0.8549384134847734,-0.3333333333333333,-0.3333333333333333,0.583941605839416,0.0858693087992451,0,1,1,0,0,0,0,0,0
0.014705882352941176,-0.47692307692307684,0.6763503947405864,-0.4692833857424655,-0.3244444444444444,-0.3333333333333333,0.36496350364963503,0.025477707006369428,0,1,0,0,0,0,0,0,0
-0.6176470588235294,0.7384615384615385,-0.17741921022753823,-1.2550011949155542,-0.14777777777777779,-0.3333333333333333,0.7299270072992701,-0.09436187780136825,0,1,0,0,0,0,0,0,0
-0.23058823529411776,1.1587692307692308,-0.9392055125701638,-1.6030498553324717,-0.05555555555555555,-0.3333333333333333,0.583941605839416,-0.10568530313753244,0,0,0,0,0,0,0,0,0
0.1811764705882352,-0.15384615384615383,-0.0060911082733117825,-0.913009473909572,-0.3888888888888889,-0.3333333333333333,0.145985401459854,-0.08775654635527247,0,0,1,0,0,0,0,0,0
-0.6176470588235294,0.7076923076923076,-0.7176466497976635,-1.3240697671489736,-0.3522222222222222,-0.3333333333333333,0.8029197080291971,-0.10662892191554611,0,0,1,0,0,0,0,0,0
-0.6129411764705883,0.7076923076923076,-0.08791697184649634,-1.761250237462996,-0.16666666666666666,-0.16666666666666666,0.0,-0.10568530313753244,0,0,0,0,1,0,0,0,0
-0.6523529411764708,0.7076923076923076,-0.3168085400005942,-0.3131091631637392,-0.3522222222222222,-0.16666666666666666,0.0,-0.10568530313753244,0,1,0,0,1,0,0,0,0
1.3623529411764703,-0.27199999999999996,-0.4635997469392016,-0.30155551790348634,-0.05555555555555555,-0.3333333333333333,0.0,-0.10568530313753244,0,1,1,0,0,0,0,0,0
-0.11764705882352941,1.2719999999999998,0.022933487253630074,-0.5576927945278031,-0.3888888888888889,-0.3333333333333333,0.2116788321167883,-0.10662892191554611,0,1,0,0,0,1,0,0,0
0.16176470588235295,1.3846153846153844,0.34975485399809814,0.022879215069040167,-0.2777777777777778,-0.3333333333333333,0.0,-0.10662892191554611,0,1,0,1,0,0,0,0,0
-0.17647058823529413,-0.12307692307692306,0.697033246096349,-0.26260766019257165,0.12000000000000001,-0.16666666666666666,1.0802919708029197,-0.0868129275772588,0,1,0,0,1,1,0,0,0
0.2988235294117646,-0.18461538461538454,0.1885648322194481,-1.4034341583680803,-0.3888888888888889,-0.3333333333333333,0.21897810218978103,-0.10662892191554611,0,1,0,0,0,0,0,0,0
0.2399999999999999,-0.23569230769230762,-0.7848929946219175,0.22116252389207522,0.8888888888888888,-0.3333333333333333,0.6277372262773723,-0.10662892191554611,0,1,0,0,0,1,0,0,0
0.6564705882352939,-0.46153846153846145,-0.7348846349892308,-0.9159968851136434,-0.3333333333333333,-0.3333333333333333,0.6131386861313869,-0.10662892191554611,0,1,0,1,0,0,0,1,0
0.6858823529411763,0.47692307692307684,0.6873404450725435,-0.9321495089416498,-0.3522222222222222,0.0,0.0,-0.08964378391129983,0,0,1,0,1,0,0,0,0
0.3870588235294117,1.5076923076923074,-0.39213866144059883,-1.2801625640034524,0.5,-0.3333333333333333,-0.145985401459854,-0.10662892191554611,0,1,1,1,0,0,0,0,0
-0.255294117647059,-0.21538461538461534,-1.0043784190264513,-0.07587625271634182,0.6111111111111112,-0.3333333333333333,0.291970802919708,0.3236612408586931,0,0,1,0,0,0,0,0,0
-0.7600000000000001,-0.47692307692307684,0.51700279985647,-1.2015078088870244,-0.16666666666666666,-0.3333333333333333,0.0,-0.08964378391129983,0,0,0,0,0,0,0,0,0
0.9605882352941175,0.04123076923076923,0.3354018334569391,-0.7837761938891944,-0.16666666666666666,-0.3333333333333333,0.43795620437956206,-0.10662892191554611,0,0,0,0,0,1,0,1,0
0.10294117647058823,-0.3538461538461538,0.8319380068335366,-0.5585800747291245,-0.38,0.16666666666666666,-0.43795620437956206,-0.0754895022410946,0,0,0,0,1,0,0,0,0
0.0,-0.09230769230769227,-0.30740229203780217,-2.0391905760218427,0.2777777777777778,-0.3333333333333333,0.656934306569343,-0.10662892191554611,0,0,0,1,0,1,0,0,0
-0.671764705882353,-0.15384615384615383,0.267063844709984,-2.713965745021577,-0.38,-0.3333333333333333,0.145985401459854,-0.06888417079499883,0,1,0,0,0,1,0,0,0
0.5829411764705881,0.09230769230769234,0.6641375746489904,-2.0880815667242976,2.611111111111111,-0.3333333333333333,3.1386861313868613,-0.10662892191554611,0,0,0,1,0,1,0,0,0
-0.35294117647058826,-0.43076923076923074,-0.8208787227584943,-0.9652558907547785,-0.036666666666666674,-0.16666666666666666,1.0218978102189782,-0.09813635291342297,0,1,0,0,1,1,0,0,0
1.1958823529411764,-0.33846153846153837,0.07017435939030556,-1.0359959903603086,-0.3888888888888889,-0.3333333333333333,-0.072992700729927,-0.08115121490917669,0,0,0,1,0,1,0,0,0
-0.04941176470588255,-0.33846153846153837,0.6606894305420165,-1.9094370795133069,0.1111111111111111,-0.16666666666666666,-0.072992700729927,-0.10379806558150508,0,1,0,0,1,1,0,0,0
-0.7158823529411765,-0.36923076923076914,-0.1995973999232336,-0.9866097665065408,-0.3333333333333333,-0.16666666666666666,-0.043795620437956206,-0.014154281670205236,0,0,0,0,1,0,0,0,0
-0.17647058823529413,-0.25107692307692303,0.25574178261316394,-1.417103591584415,0.5,-0.3333333333333333,0.24817518248175183,-0.10662892191554611,0,1,1,1,0,0,0,0,0
0.47058823529411764,-0.2769230769230769,-0.9203882565581154,-1.9343193240470125,-0.3333333333333333,-0.3333333333333333,0.3686131386861314,-0.10662892191554611,0,1,0,0,0,1,0,0,0
-0.14705882352941177,-0.42030769230769227,-0.59100579509192,-1.2508069300042581,-0.13,-0.3333333333333333,-0.072992700729927,-0.10662892191554611,0,1,0,0,0,0,0,0,0
